token_id,current_owner,known_label,in_idLookUp
60357,tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,,True
60358,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60359,tz2FQEvdygAECvvrAb1WfesNwMBMfVwgf1u1,,True
60361,tz1RRqM5XLdH78PzEVLwiVsJY86ibpKt6EoA,,True
60362,tz1ir6dp9SGakCedZKTfdexzQ5G35RDdRWQH,,True
60363,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60366,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60367,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60368,tz1P6fFTp2ns9aPABp33g7XqkwNMBBevaVrN,,True
60369,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60370,tz1i2JtcxpbG2A2K914ahs9SJxTAqrLYArqN,,True
60371,tz1RRqM5XLdH78PzEVLwiVsJY86ibpKt6EoA,,True
60372,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60373,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60374,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60375,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60377,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60379,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60380,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60381,tz1bKM4FRgAsGdDWzXs4o5HZdjBbLMbPBAA1,,True
60382,tz1g5Pd8Z32hc3PR6LqDR1CoN5mp2r3aL57U,,True
60383,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60384,tz29tmqXFXdyiw6qyxPKfwsKDm5JJQGz8euF,,True
60386,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60387,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60388,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60389,tz2CYbLMDbiG54yz8Z5gNd61ZA2x6XJUZ1Gb,,True
60391,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60392,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60393,tz1SUc8uEubpzbGMKDMP1BLZWTgRpnc4nsqo,,True
60394,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60395,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60396,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60397,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60399,tz1hYc8FKJSztPJb8a9b4V4yQBGtk9t1FkEj,,True
60401,tz1Wv7W62X1YS8YgPeF7dBD1LCe5s7kYNhug,,True
60403,tz28S96XJii1cEFzcCtJWHyviVEB2byFSsKd,,True
60404,tz1iMDSaAghj9dby9FrZV1HpLk8ZXKzjxfmy,,True
60406,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60407,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60413,tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,,True
60414,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60416,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60418,tz29LqGEjCrSR1HFhzMoujZvXi5Rgdhxe7mP,,True
60429,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b (you),True
60432,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60433,tz1XQZVcQbSA56cf5ZKGGeM9jH4qzfwYL8rk,,True
60434,tz1bseqaCRcRGBtppwboR17TvXgjSoyxArXX,,True
60436,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60437,tz1WuJ7QQDRjWPEZgreryE3yxbmNwBzjsLZj,,True
60438,tz1YN1FdSMuJ95bMHJ7GSHV5NLLRiJ8XcbDQ,,True
60439,tz1d473kD8ctsHnJVtmoLAGW1wBZzYzMuU7n,,True
60440,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60441,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,,True
60442,tz2FwrmrSE3y5MrQFyRQNhVKX6kDJvo5Qep7,,True
60443,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60444,tz1YCuRnQExvv8qLnkA3Z88FVzhSHnv3QYrZ,,True
60445,tz1W4EJYT5NqjmkgzjGf9UN3bd8sC3cighoG,,True
60446,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60447,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60448,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60449,tz1amHLKiJcGRrC8wRqs71hkZBeQtY9ENtDg,,True
60450,tz1W6i98j9u4W1sMiUwQFii5rkn1vMUkW5Jm,,True
60451,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,objkt.com marketplace (escrow),True
60452,tz1PihyM2RNdHku8piq5sSQusNiiPZqrcZQy,,True
